BichonProvince,比奇省
ZumaTemple_7F,祖马寺庙_7层
ZumaTemple_7F,祖马寺庙_7层
ZumaTemple,祖马寺庙
ZumaTemple,祖马寺庙
ZumaTemple,祖马寺
ZumaTemple,祖马寺
ZumaTemple,祖马神庙
AncientZumaLobby,古老的祖玛大厅
AncientZuma_1F,古老的祖玛_1层
AncientZuma_2F,古老的祖马_2层
AncientZuma_3F,古老的祖马_3层
SealedMaze,玺印迷宫
SacredFoxHill,神圣的狐狸山
SacredFoxTemple,圣狐寺庙
SwampCavern_1F,沼泽地洞_1层
SwampCavern_2F,沼泽地洞_2层
Swamp,沼泽
DarkSwamp,黑暗沼泽
ForgottenCity,被遗忘的城市
PrajnaIsland,普拉格纳岛
WeaponStore,武器店
AccessoryStore,配饰店
DraperyStore,窗帘店
VillageChiefHouse,村长之家
FisherManHouse,渔夫之家
Shrine,祠堂
PrajnaStoneCave_1F,般若石窟_1层
PrajnaStoneCave_2F,般若石窟_2层
PrajnaStoneCave(E)_3F,般若石窟(E)_3层
PrajnaStoneCave(W)_3F,般若石窟(西)_3层
PrajnaStoneCave_4F,般若石窟_4层
PrajnaStoneCave_5F,般若石窟_5层
PrajnaStoneCave_6F,般若石窟_6层
PrajnaTempleLobby,普拉纳神庙大厅
PrajnaTemple_1F,普拉纳神庙_1层
PrajnaTemple_2F,普拉纳神庙_2层
PrajnaTemple_3F,般若寺_3层
PrajnaTemple_4F,真武庙_4层
PrajnaTemple(E)_5F,般若寺(E)_5层
PrajnaTemple(W)_5F,般若寺(W)_5层
PrajnaTemple_6F,般若寺_6层
PrajnaTemple_7F,般若寺_7层
PrajnaTemple,普拉那神庙
AncientPrajna_1F,古代般若寺_1层
AncientPrajna_2F,古代普拉那寺_2层
AncientPrajna_3F,古代寺庙_3层
PastBichon,过去的比丘尼
GeneralsCamp,将军营
WestOmaGorge,西奥马峡谷
WestOmaPass,西奥马山庄
OmaGorge,峡谷
EastOmaPass,东奥马帕斯
WestOmaValley,西奥马河谷
OmaValley,奥马河谷
EastOmaValley,东奥马河谷
EastOmaGorge,东奥马河谷
WestPass,西帕斯
EastPass,东帕斯
BloodGorge,血色峡谷
BloodPass,血色通道
BloodLand,血地
LightningCave,闪电洞
MoltenRockCave,熔岩洞
EvilMirPalace,邪恶的米尔皇宫
WasteLands,荒地
HellCavern_1F,地狱洞窟_1层
HellCavern_2F,地狱洞窟_2层
HellOverpass,地狱通道
IceHellCavern,冰狱地窖
IceHellTemple(S),冰狱神庙(S)
DangerousCavern,危险洞窟
IceHellTemple(N),冰狱神殿(N)
IceHellPass,冰狱通道
IceHellTemple_KR,冰雪圣殿_KR
HellFire_1F,地狱之火_1层
HellFire_2F,地狱之火_2层
HellFire_3F,地狱火_3层
HellFire_KingsRoom,地狱之火_国王室
RedCavern_1F,红窑洞_1层
RedCavern_2F,红酒馆_2层
RedCavern_3F,红酒馆_3层
RedCavern_4F,红酒馆_4层
RedCavern_5F,红酒馆_5层
RedCavern_6F,RedCavern_6层
RedCavern_7F,RedCavern_7层
RedCavern_8F,RedCavern_8层
RedCavern_9F,RedCavern_9层
RedCavern_10F,RedCavern_10层
RedCavern_11F,RedCavern_11层
RedCavern_12F,RedCavern_12层
RedCavern_KR,红酒馆_KR
DeadForest,死亡森林
CastleRuins,城堡废墟
Ruins,废墟
HauntedForest,闹鬼的森林
WhiteValley,白色山谷
GeneralStore,综合商店
TrainingHall,训练馆
AccessoryStore,配饰店
DraperyStore,窗帘店
PrivateHouse,私人住宅
PrivateHouse,私人住宅
BookStore,书店
WeaponStore,武器店
PotionStore,药水店
Warehouse,仓库
SnowCavern_1F,雪洞_1层
SnowCavern_2F,雪洞_2层
TheSnowLair,雪地巢穴
WaitingRoom,等待室
InfiniteBout,无限挑战
InfiniteBout,无限挑战
InfiniteBout,无限对决
GameMaster,游戏管理员
PenalCavern,惩戒洞穴
CraftingVillage,工艺村
Arch+B1:C385ersHideout,弓箭手藏身处
