SpiritBlade,灵魂之刃
PlatinumRing,铂金戒指
DragonRing,龙戒
EvilSlayerRing,邪恶杀手戒指
JadeSnowRing,翡翠雪花戒指
TwinGoldRing,双金戒指
PowerRing,力量之环
VioletRing,紫罗兰指环
TitanRing,泰坦之环
BoundlessRing,无边无际指环
ThunderRing,雷霆之心
TaeGukRing,泰戈尔指环
OmaSpiritRing,大马精神之环
NobleRing,高贵之环
SoulRing,灵魂之环
PledgeRing,誓约环
CrimsonRubyRing,红宝戒指
FiveElementRing,五元素戒指
GoldDragonRing,金龙戒指
DemonRubyRing,恶魔之戒
EvilExpelRing,驱邪戒指
PurpleFoxRing,紫色狐狸戒指
RedFoxRing,红色狐狸戒指
BlueFoxRing,蓝狐戒指
GreatPurpleFoxRing,大紫狐狸戒指
GreatRedFoxRing,大红狐狸圈
GreatBlueFoxRing,大蓝狐戒指
SurvivalRing,生存之环
SealRing,海豹环
TajiRing,工艺戒指
CraftRing1,工艺戒指1
CraftRing2,工艺戒指2
CraftRing3,工艺戒指3
CraftRing4,工艺戒指4
CraftRing5,工艺戒指5
CraftRing6,工艺戒指6
CraftRing7,工艺戒指7
CraftRing8,工艺戒指8
CraftRing9,工艺戒指9
CraftRing10,工艺戒指10
RedDemonRing,红魔戒指
CloudRing,云戒指
PoisonRing,毒药戒指
EvilDragonRing,恶龙戒指
EvilDragonRing1,恶龙戒指1
EvilDragonRing2,恶龙戒指2
EvilDragonRing3,恶龙戒指3
EvilDragonRing4,恶龙戒指4
EvilDragonRing5,恶龙戒指5
RDragonRing,黑龙戒指
RDragonRing1,黑龙戒指1
RDragonRing2,黑龙戒指2
RDragonRing3,黑龙戒指3
RDragonRing4,黑龙戒指4
RDragonRing5,黑龙戒指5
IronBracelet,铁手镯
ThinBracelet,瘦手镯
LeatherGlove,皮手套
SilverBracelet,银手镯
SteelBracelet,钢制手镯
LargeBracelet,大手镯
SharpBracelet,锋利的手镯
HardGlove,硬手套
MagicBracelet,魔法手镯
EvadeBracelet,躲避手镯
EbonyBracelet,黑檀木手镯
MonkBracelet,和尚手链
StrainBracelet,应变手镯
DeathGauntlet,死亡护盾
GoldBracelet,金质手镯
3rdEyeBracelet,第三只眼睛手镯
BronzeGlove,青铜手套
SpellBracelet,咒语手镯
KnightBracelet,骑士手镯
DragonBracelet,龙形手镯
SoulSpringBracelet,灵魂之泉手镯
BlackIronBracelet,黑铁手套
SteelGlove,钢手套
BracerOfMagic,法力手镯
TaoPowerBracelet,道力手镯
SteelGauntlet,炼金术士
8TrigramWheel,八卦轮
HangMaWheel,吊马轮
BokMaWheel,福马轮
BaekTaGlove,白塔手套
SpiritReformer,灵魂改造者
HolyTaoWheel,圣道轮
DualTitanAmulet,双天王护身符
EvilWhispAmulet,恶语护身符
SacredAngelAmulet,神圣天使护身符
WildTitanAmulet,野生泰坦护身符
EnchantedAmulet,魔法护身符
FiveElementAmulet,五元素护身符
PurpleFoxBracelet,紫色狐狸的手链
RedFoxBracelet,红狐狸手链
BlueFoxBracelet,蓝狐狸手链
GreatPurpleFoxBrace,大紫狐狸的手镯
GreatRedFoxBrace,大红狐抱枕
GreatBlueFoxBrace,巨大的蓝狐手镯
SurvivalBracelet,生存手镯
LunarBracelet,月牙形手镯
GoldenDragonBrace,金色龙凤镯
GoldenDragonBrace1,金色龙凤镯1
GoldenDragonBrace2,金色龙凤镯2
GoldenDragonBrace3,金色龙凤镯3
GoldenDragonBrace4,金色龙凤镯4
GoldenDragonBrace5,金色龙凤镯5
EvilDragonBracelet,恶龙手镯
EvilDragonBracelet1,恶龙手镯1
EvilDragonBracelet2,恶龙手镯2
EvilDragonBracelet3,恶龙手镯3
EvilDragonBracelet4,恶龙手镯4
EvilDragonBracelet5,恶龙手镯5
GoldNecklace,黄金项链
PrecisionNecklace,精准项链
BlackNecklace,黑色项链
EbonyNecklace,黑檀木项链
YellowNecklace,黄色项链
PlatinumNecklace,铂金项链
JadeNecklace,翡翠项链
TigerNecklace,虎纹项链
ElusionNecklace,幻影项链
NagaNecklace,娜迦项链
AmberNecklace,琥珀项链
PhoenixBead,凤凰珠
LanternNecklace,灯笼项链
GaleNecklace,烈风项链
WarriorNecklace,战士项链
BlueCrystalNecklace,蓝水晶项链
BlueJadeNecklace,蓝玉项链
ConvexLens,凸透镜
BambooPipe,竹管
BlueThunderNecklace,蓝色雷霆项链
SpiritPowerNecklace,精神力量项链
ClawNecklace,爪子项链
LifeNecklace,生命项链
PearlNecklace,珍珠项链
AmethystNecklace,紫水晶项链
DemonicBells,恶魔的铃铛
SoulNecklace,灵魂项链
GreenBead,绿珠
HeroNecklace,英雄项链
AdamantineNecklace,金刚石项链
RequiemNecklace,安魂曲项链
CuspidNecklace,残缺的项链
SorceryAnchor,巫术之锚
PurifiedMirror,净化的镜子
AdamantNecklace,金刚项链
EvilTriangle,邪恶三角
CrossPurified,净化的十字架
PurpleFoxCollar,紫色狐狸领
RedFoxCollar,红色狐狸领
BlueFoxCollar,蓝色狐狸领
GreatPurpleFoxCollar,大紫狐狸领
GreatRedFoxCollar,大红狐狸领
GreatBlueFoxCollar,大蓝狐狸领
SurvivalNecklace,生存项链
DemonMask,恶魔面具
VioletOrb,紫金石
KunroonTear,鲲鹏之泪
DragonNecklace,龙纹项链
DragonNecklace1,龙纹项链1
DragonNecklace2,龙纹项链2
DragonNecklace3,龙纹项链3
DragonNecklace4,龙纹项链4
DragonNecklace5,龙纹项链5
DragonPendant,龙吊坠
DragonPendant1,龙吊坠1
DragonPendant2,龙吊坠2
DragonPendant3,龙吊坠3
DragonPendant4,龙吊坠4
DragonPendant5,龙吊坠5
ProbeNecklace,探针项链
SkillNecklace,技能项链
BronzeHelmet,青铜头盔
MagicHelmet,魔法头盔
BrassHelmet,黄铜头盔
GoldenTiara,金色蒂亚拉
SkeletonHelmet,骷髅头盔
ShamanHelmet,萨满头盔
SteelHelmet,钢铁头盔
HelmetOfHero,英雄头盔
BlackIronHelmet,黑铁头盔
GreatHelmet,伟大的头盔
WisdomCoronet,智慧头盔
TaoCoronet,道冠
RoyalHelmet,皇家头盔
HelmetOfKings,国王头盔
HelmetOfSorcery,巫术头盔
PurifiedMask,净化面具
DemonShadow,恶魔之影
LeatherBelt,皮腰带
ChainBelt,链带
BronzeBelt,青铜腰带
SteelBelt,钢带
GoldBelt,金腰带
AdamantineBelt,金刚腰带
FlamingGrasp,火焰抓手
RottenShoes,腐烂的鞋子
LowShoes,低帮鞋
LeatherBoots,皮靴
SilkBoots,丝绸靴
BlackBoots,黑靴
DragonBoots,龙靴
RedScaleBoots,红鳞鞋
GoldPatternBoots,金纹靴
HealthStone(S),健康石(S)
HealthStone(M),健康石(M)
HealthStone(L),健康石(L)
HealthStone(XL),健康石(XL)
HealthStone,健康石
MagicStone(S),魔法石(S)
MagicStone(M),魔法石(M)
MagicStone(L),魔法石(大)
MagicStone(XL),魔法石(XL)
MagicStone,魔法石
PowerStone(S),动力石(S)
PowerStone(M),动力石(M)
PowerStone(L),动力石(L)
PowerStone(XL),动力石(XL)
PowerStone,动力石
DCStone(S),DC攻击石(S)
DCStone(M),DC攻击石(M)
DCStone(L),DC攻击石(L)
DCStone(XL),DC攻击石(XL)
DCStone,DC攻击石
MCStone(S),MC石(S)
MCStone(M),MC石(M)
MCStone(L),MC石(L)
MCStone(XL),MC石(XL)
MCStone,MC石
SCStone(S),SC石(S)
SCStone(M),SC石(M)
SCStone(L),SC石(L)
SCStone(XL),SC石(XL)
SCStone,SC石
FrozenStone,冰冻石
(HP)DrugSmall,(HP)药物小量
(MP)DrugSmall,(MP)药物小量
(HP)DrugMedium,(HP)药物中量
(MP)DrugMedium,(MP)药物中量
(HP)DrugLarge,(HP)药物大量
(MP)DrugLarge,(MP药物大量
(HP)DrugXL,(HP)药物XL
(MP)DrugXL,(MP)药物XL
(HP)PotionSmall,(HP)药水小
(MP)PotionSmall,(MP)药水小
(HP)PotionMedium,(HP)药水中号
(MP)PotionMedium,(MP)药水中号
SunPotion,太阳药水
SunPotion(M),太阳药水(中)
Ginseng,人参
OldGinseng,老人参
Apple,苹果
ImpactDrug(S),解毒药水(S)
ImpactDrug(M),解毒药水(M)
ImpactDrug(L),解毒药水(大)
MagicDrug(S),魔药(小)
MagicDrug(M),魔药(中)
MagicDrug(L),神奇毒品(L)
TaoistDrug(S),道教药物(S)
TaoistDrug(M),道教药物(M)
TaoistDrug(L),道教药物(L)
StormDrug(S),风暴药(S)
StormDrug(M),风暴药(中)
StormDrug(L),风暴药(大)
StaminaAid(S),肌力辅助剂(S)
StaminaAid(M),肌力辅助(中)
StaminaAid(L),劲力援助(大)
MagicAid(S),魔法援助(S)
MagicAid(M),魔法援助(中)
MagicAid(L),魔法援助(大)
SpencerDrug,斯宾塞药
Dumpling,饺子
BeefDumpling,牛肉饺子
ChickenDumpling,鸡肉饺子
EggDumpling,鸡蛋饺子
BoneDumpling,骨头饺子
HerbalTea,草药茶
MeatSoup,肉汤
ZerkSoup,鸡汤
ChickenBroth,鸡肉汤
EggBroth,蛋汤
BoneBroth,骨头汤
CannibalFruitTea,食人果茶
RepairOil,修复油
WarGodOil,战神油
[H]WarGodOil,[战神油
BenedictionOil,祝福油
GreenPoison,绿毒
RedPoison,红色毒药
Amulet,护身符
Amulet(Bundle),护身符(包)
AmuletOfRevival,复兴护身符
Invitation,邀请函
GTTeleport,呼叫中心
RandomTeleport,随机传送卷
DungeonEscape,地牢逃脱
TownTeleport,城镇传送阵
TeleportHome,传送首页
Candle,蜡烛
Torch,火炬
EnternalFlame,火焰
PeddlerTorch,小贩火炬
DragonTorch,龙形火炬
HardTorch(S),硬火炬(小)
HardTorch(M),硬火炬(中)
HardTorch(L),硬火炬(大)
KnowledgeTorch(S),知识火炬(小)
KnowledgeTorch(M),知识火炬(中)
KnowledgeTorch(L),知识火炬(大)
Lantern,灯笼
BraveryGem,勇敢宝石
MagicGem,魔法宝石
SoulGem,灵魂宝石
ProtectionGem,保护宝石
EvilSlayerGem,屠龙宝典
DurabilityGem,耐用性宝石
StormGem,风暴宝石
AgilityGem,敏捷宝石
AccuracyGem,准确度宝石
PoisonGem,毒药宝石
FreezingGem,冰冻宝石
DisillusionGem,幻觉宝石
EnduranceGem,耐力宝石
BraveryOrb,勇敢宝藏
MagicOrb,魔力宝石
SoulOrb,灵魂之球
ProtectionOrb,保护球
EvilSlayerOrb,屠魔球
DurabilityOrb,耐用性Orb
StormOrb,风暴Orb
AgilityOrb,敏捷Orb
AccuracyOrb,准确度Orb
PoisonOrb,毒药Orb
FreezingOrb,冰冻兽
DisillusionOrb,幻觉Orb
EnduranceOrb,耐力Orb
SewingGoods,缝制物品
BoneHammer,骨锤
GreaterSewingGoods,大缝纫机
GreaterBoneHammer,大骨锤
BengalTiger,孟加拉虎
BlueTiger,蓝虎
BlackLeopard,黑豹
IceLeopard,冰豹
PantheraTiger,东北虎
RedTiger,红虎
WhiteTiger,白虎
Wolf,狼
BrownWolf,棕狼
BlueWolf,蓝狼
BlackWolf,黑狼
WhiteWolf,白狼
LeatherBridle,皮脊柱
GoldBridle,金铃
BronzeBell,铜铃
SilverBell,银铃
GoldBell,金钟
GreenBell,绿铃
Saddle,鞍座
RedRibbon,红丝带
BlueRibbon,蓝丝带
BlackRibbon,黑丝带
LeatherMask,皮面具
WhiteMask,白色面具
BlackMask,黑面具
SilverMask,银色面具
TitaniumMask,钛合金面具
RawMeat,生肉
LeanMeat,瘦肉精
BlueFishingRod,蓝色鱼竿
RedFishingRod[6M],红色鱼竿[6M]
FishingHook,钓钩
FishingFloat,渔船
PremiumFloat,高级浮筒
FishBait,鱼饵
PremiumBait,高级鱼饵
FishDetector,探鱼器
PremiumFinder,探测仪
FishingReel,钓鱼卷轴
PremiumReel,高级卷轴
Walleye,瓦利耶鱼
SwordFish,剑鱼
RockBass,石鲈鱼
Trout,鳟鱼
Tinker,修补者
SmallGobby,小鱼
Mackeral,鲭鲭鱼
Gobby,高比
ArmourBook(DC),盔甲书(DC)
ArmourBook(MC),铠甲书(MC)
ArmourBook(SC),铠甲书(SC)
ArmourBook(ACC),铠甲书(ACC)
RustyArmour,锈迹斑斑的盔甲
Translucent,半透明的
HavocCrystal,浩劫水晶
BookofMana,法力之书
BookofSpirit,精神之书
ArmourCastTool,铸甲工具
MossyBox,苔藓盒
StrongRope,强力绳索
CopperOre,铜矿石
IronOre,铁矿石
SilverOre,银矿
GoldOre,金矿
黑铁矿,黑铁矿
Amethyst,紫水晶
Ruby,红宝石
Platinum,铂金
Nephrite,软玉
AdamintineOre,金刚石矿
EmeraldOre,绿宝石
OlivineOre,橄榄石
PickAxe,镐头
PickAxe0,斧头0
Stamp,勋章
GoldBar,金条
GoldBarBundle,金条捆绑
GoldChest,金柜
GambleChip,赌博筹码
Dice,骰子
UnknownOrb,未知球体
AdmissionOrb,入场券
ScrollOfSeal,封印卷轴
GuardianOrb,守护神
BichonToken,比熊令牌
TimeStonePiece,时间石块
Chicken,鸡肉
Pork,猪肉
Beef,牛肉
Venison,鹿肉
Mutton,羊肉
Meat,肉类
DeerMeat,鹿茸
Feather,羽毛
BrownChestnut,棕色栗子
