8TrigramWheel,八卦轮
HardenedRing,记忆戒指
HardGlove,硬手套
HardSteelSword,硬钢剑
HardTemperedArmour,硬钢盔甲
HardTorch,硬火炬
Haste,障碍物
HavocCrystal,浩劫水晶
Healing,疗伤
HealingCircle,治愈圈
HealingLetter,治愈字母
HealthStone,健康石
HealthWine,健康酒
HeartOfDead,亡灵之心
HeavenArmour,天堂之铠
HeavenlySword,天堂之剑
HeavenSword,创天之剑
HeavenWarrior,天堂战士
HeavyArmour,重装甲
HellFire,地狱之火
HellWarrior,地獄戰士
HellYamaBlade,地狱山刀
HelmetOfDarkness,黑暗头盔
HelmetOfHero,英雄头盔
HelmetOfKings,国王头盔
HelmetOfSorcery,巫术头盔
Hemorrhage,出血
HerbalTea,草药茶
HeroNecklace,英雄项链
HexagonalRing,六角戒指
HiddenScroll,隐藏的卷轴
Hiding,躲藏
HoaSword,剑侠情缘
HolyBloodSpear,圣血之矛
HolyTaoWheel,圣道轮
HookedSpear,钩镰枪
HookedSword,钩状剑
HornRing,喇叭戒指
HwanDevilBracelet,恶魔手镯
HwanDevilNecklace,恶魔项链
HwanDevilRing,恶魔戒指
IceDragonSword,冰龙之剑
IceLeopard,冰豹
IceMarble,冰石
IceStorm,冰风暴
IceThrust,冰刺
ImmortalSkin,不朽的皮肤
ImpactDrug,解毒药水
Invitation,邀请函
IronArmour,铁甲
IronBlades,铁刀
IronBracelet,铁手镯
IronOre,铁矿石
IronRing,铁戒指
IronSword,铁剑
JadeCrystal,翡翠水晶
JadeNecklace,翡翠项链
JadeRing,玉环
JadeSnowRing,翡翠雪花戒指
JudgementMace,判决书
KeenKrissSword,强力剑
KittenEgg,小猫蛋
Knapsack,背包
KnightBracelet,骑士手镯
KnowledgeTorch,知识火炬
KrissSword,克利斯之剑
KunroonTear,鲲鹏之泪
Lantern,灯笼
LanternNecklace,灯笼项链
LargeBone,大骨
LargeBracelet,大手镯
LeanMeat,瘦肉精
LeatherArmour,皮甲
LeatherBelt,皮腰带
LeatherBoots,皮靴
LeatherBridle,皮脊柱
LeatherGlove,皮手套
LeatherMask,皮面具
LethalBow,致命之弓
LifeNecklace,生命项链
LightArmour,轻甲
LightBody,光之体
LightLeather,轻型皮革
LightLeatherArmour,轻质皮甲
Lightning,闪电
LightTemperedArmour,轻质护甲
LionRoar,狮子吼
LitheBow,火焰弓
LongBow,长弓
LotusArmour,莲花盔甲
LowShoes,低帮鞋
LunarBracelet,月牙形手镯
Mackeral,鲭鲭鱼
Mackerel,鲭鱼
MadDragonBlades,狂龙之刃
MageStaff,法师之杖
MaggotPill,蛆虫药丸
MagicAid,魔法援助
MagicalLiquor,神奇之酒
MagicalWater,神奇的水
MagicalWater7,神奇的水7
MagicBangle,魔幻手镯
MagicBooster,魔力助推器
MagicBracelet,魔法手镯
MagicDrug,魔药
MagicGem,魔法宝石
MagicGlyph,魔法精灵
MagicHelmet,魔法头盔
MagicOrb,魔力宝石
MagicRobe,魔法之袍
MagicScythe,魔法镰刀
MagicShield,魔法盾
MagicStone,魔法石
MagicWine,魔法酒
MaleficBow,邪恶之弓
MammothLeather,猛犸象皮
Mandible,下颌骨
ManectricClub,骑士俱乐部
ManectricHammer,锤子
MartialSabre,武术刀
MartialSword,武术剑
MassHealing,大规模治疗
MassHiding,大规模躲藏
MCStone,MC石
MCTorch,MC火炬
Meat,肉类
MeatSoup,肉汤
Medicine,药酒
Meditation,冥想
MediumArmour,中型护甲
MentalState,精神状态
MeteorShower,流星雨
MeteorStrike,流星打击
MirArmour,铠甲
MirBelt,腰带
MirBoots,米尔靴
MirHelmet,米尔头盔
MirNecklace,米尔项链
MirRing,米尔戒指
Mirroring,镜像
MirSword,米尔剑
MirWheel,米尔轮
MobBlood,血液
MongchonWine,梦泉酒
MonkBangle,和尚手镯
MonkBracelet,和尚手链
MoonLight,月光
MoonMist,月雾
MoralRing,道德戒指
MossyBox,苔藓盒
MPEater,猎手
MundaneGlove,俗世手套
MundaneRing,俗世戒指
MuscleRing,力量戒指
Mushroom,蘑菇
Mutton,羊肉
MysteriousScroll,神秘卷轴
MysteriousStone,神秘的石头
MysteryCircle,神秘戒指
MysteryHelmet,神秘头盔
MysteryWater,神秘之水
MysteryWheel,神秘的轮子
NagaNecklace,娜迦项链
NapalmShot,汽油弹
NecklaceOfAgony,神奇的项链
Nephrite,软玉
NephriteBelt,翡翠腰带
NephriteBracelet,翡翠手镯
NephriteNecklace,翡翠链
NephriteRing,翡翠戒指
NephriteShoes,翡翠鞋
Ninja,忍者
NobleRing,高贵之环
NokChiRing,诺基亚戒指
NokChiWheel,戒指待查
OldCopperRing,老铜环
OldFisherman,老渔夫
OldGinseng,老人参
OldLoafer,旧鞋垫
OldNagaNecklace,老纳加项链
OldNecklace,古老的颈链
OldRobe,旧袍子
OliviasRing,奥利维亚斯戒指
OlivineOre,橄榄石
OlympicEgg,奥运蛋蛋
OmaKingRobe,奥马王袍
OmaSpiritRing,大马精神之环
OmaTeeth,大妈的牙齿
OneWithNature,与自然同在
PantheraTiger,东北虎
ParalysisRing,麻痹戒指
PearlArmour,珍珠盔甲
PearlNecklace,珍珠项链
PearlRing,珍珠戒指
PeddlerTorch,小贩火炬
PetEnhancer,宠物强化器
PhoenixBead,凤凰珠
PickAxe,镐头
Pig,猪
PigEar,猪耳朵
PigHoof,猪蹄
Pirate,海盗
PKPointReduction,PK点减少
Plague,瘟疫
Platinum,铂金
PlatinumNecklace,铂金项链
PlatinumRing,铂金戒指
PledgeRing,誓约环
PoisonCloud,毒云
PoisonGem,毒药宝石
Poisoning,中毒
PoisonMarble,毒药大理石
PoisonOrb,毒药Orb
PoisonRing,毒药戒指
PoisonSack,毒药袋
PoisonShot,毒药射击
PoisonSword,毒剑
Pork,猪肉
Portal,传送门
PotionMedium,药水中号
PotionSmall,药水小
PowerAxe,力量斧
PowerRing,力量之环
PowerStone,动力石
PrajnaHeart,普拉纳之心
PrajnaHistory,普拉纳历史
PrecisionNecklace,精准项链
PrecisionPendant,精密吊坠
PremiumBait,高级鱼饵
PremiumFinder,探测仪
PremiumFloat,高级浮筒
PremiumPass,高级通行证
PremiumReel,高级卷轴
PrinceDagger,王子匕首
ProbeNecklace,探针项链
ProtectionField,保护场
ProtectionGem,保护宝石
ProtectionGlyph,灵魂保护
ProtectionOrb,保护球
ProtectionRing,护身戒指
Purification,净化
PurifiedMask,净化面具
PurifiedMirror,净化的镜子
PurifierSword,净化者之剑
PurityBracelet,纯洁手镯
PurityNecklace,纯洁项链
PurityRing,纯洁之环
PurpleFoxBracelet,紫色狐狸的手链
PurpleFoxCollar,紫色狐狸领
PurpleFoxRing,紫色狐狸戒指
Rage,愤怒
RaidersArmour,突击者护甲
RaidersBoots,突击者之靴
RaidersGlove,突击者手套
RaidersHelmet,突击者头盔
Ram,正规
RandomTeleport,随机传送卷
RareCopperOre,罕见的铜矿石
RawMeat,生肉
RawSword,生死剑
rdEyeBracelet,第三只眼睛手镯
RDragonRing,黑龙戒指
RecallBracelet,纪念品
RecallHelmet,召回头盔
RecallNecklace,纪念品项链
RecallRing,戒指
RecoveryRing,治疗戒指
RedDagger,红匕首
RedDarkArmour,红色黑暗盔甲
RedDemonRing,红魔戒指
RedEyeSkull,红眼骷髅头
RedFishingRod,红色鱼竿
RedFlowerBracelet,红花手镯
RedFlowerNecklace,红花项链
RedFlowerRing,红花戒指
RedFoxBracelet,红狐狸手链
RedFoxCollar,红色狐狸领
RedFoxRing,红色狐狸戒指
RedJadeBelt,红玉腰带
RedJadeBracelet,红玉手镯
RedJadeNecklace,红玉项链
RedJadeRing,红玉戒指
RedJadeShoes,红玉鞋
RedMoonBlades,红月之刃
RedMoonBow,红月之弓
RedMoonChip,红月亮芯片
RedMoonSword,红月之剑
RedOctagonalBox,红色八角形盒子
RedOrchidBracelet,红兰花手镯
RedOrchidNecklace,红兰花项链
RedOrchidRing,红兰花戒指
RedPoison,红色毒药
RedRibbon,红丝带
RedScaleBoots,红鳞鞋
RedSnakeTeeth,红蛇牙
RedThread,红线
RedTiger,红虎
RedWine,红葡萄酒
Reincarnation,转世
RelicArmour,遗迹盔甲
RelicRock,遗迹岩石
Relics,遗物
RepairOil,修复油
Repulsion,斥力
RequiemNecklace,安魂曲项链
ResurrectionScroll,复活卷轴
Revelation,启示
RevivalRing,复活戒指
RhinoLeather,犀牛皮
RingOfAgony,天使之戒
RingOfMoral,道德之环
RockBass,石鲈鱼
RottenShoes,腐烂的鞋子
RoyalArmour,皇家盔甲
RoyalBlades,皇家刀片
RoyalHelmet,皇家头盔
Ruby,红宝石
RubyRing,红宝石戒指
Rudolph,鲁道夫
RustyArmour,锈迹斑斑的盔甲
SacredAngelAmulet,神圣天使护身符
Saddle,鞍座
Santa,圣诞老人
ScaledArmour,鳞甲
Scimitar,弯刀
ScorpionTail,蝎子的尾巴
ScrollOfSeal,封印卷轴
SCStone,SC石
SCTorch,SC Torch
SealedHero,封印的英雄
SealRing,海豹环
SecretRecipe,秘方
SerpentEyeRing,蛇眼戒指
SerpentSword,蛇形剑
SewingGoods,缝制物品
SexChange,性变化
ShamanHelmet,萨满头盔
SharpBracelet,锋利的手镯
SharpDagger,锋利的匕首
SharpHoaSword,锋利的华剑
SharpSabre,剑客
SharpScimitar,锋利的弯刀
SharpSword,锋利的剑
SharpTrident,锋利的三叉戟
ShortBow,短弓
ShortSword,短剑
ShoulderDash,肩部冲刺
SilkBoots,丝绸靴
SilkShoes,丝绸鞋
SilverBell,银铃
SilverBow,银弓
SilverBracelet,银手镯
SilverChestnut,银色七叶树
SilverMask,银色面具
SilverOre,银矿
SkeletonBone,骷髅骨
SkeletonEgg,骷髅蛋
SkeletonHead,骷髅头
SkeletonHelmet,骷髅头盔
SkeletonRing,骷髅戒指
SkiKid,滑雪小子
SkillNecklace,技能项链
Skull,头骨
SkysLetter,天文字母
SkyStingerEgg,天鹅蛋
SlashingBurst,斩击爆裂
Slaying,杀人
SmallGobby,小鱼
SmashPendulum,大摆锤项链
SmashRing,碎轮戒指
SmashWheel,碎轮链
SnakeBody,蛇身
SnakeWine,蛇酒
SnowManEgg,雪人蛋
SolidArmour,固体盔甲
SolidBlackBoots,实心黑靴
SolidBronzeAxe,实心铜斧
SolidBronzeStaff,实心铜杖
SolidGreatAxe,实心大斧
SolidSerpentSword,实心蛇形剑
SolidSilverBow,固体银弓
SolidTwinBlades,固体双刃剑
SorceryAnchor,巫术之锚
SoulArmour,灵魂护甲
SoulFireBall,灵魂火球
SoulGem,灵魂宝石
SoulGlyph,灵魂精灵
SoulLiquor,灵魂之酒
SoulNecklace,灵魂项链
SoulOrb,灵魂之球
SoulRing,灵魂之环
SoulSabre,灵魂之剑
SoulShield,灵魂盾牌
SoulSpringBracelet,灵魂之泉手镯
SoulSpringWand,灵魂之泉魔杖
SoulWater,灵魂之水
SparklingBelt,闪亮的腰带
SparklingBoots,闪光的鞋子
SparklingHelmet,闪亮的头盔
SpearWithHook,带钩长矛
SpellBracelet,咒语手镯
SpencerDrug,斯宾塞药
SpiderLeg,蜘蛛腿
SpiderTeeth,蜘蛛牙
SpiderWarrior,蜘蛛武士
SpiderWeb,蜘蛛网
SpiderWine,蜘蛛酒
SpiritBlade,灵魂之刃
SpiritBracelet,精神手镯
SpiritHelmet,精神头盔
SpiritNecklace,精神项链
SpiritPowerNecklace,精神力量项链
SpiritReformer,灵魂改造者
SpiritRing,精神戒指
SpiritRobe,精神之袍
SpiritSword,精神之剑
Sportsman,运动家
StaffOfLotus,洛托斯之杖
StaminaAid,肌力辅助剂
Stamp,勋章
StealthArmour,隐形盔甲
SteelArmour,钢制盔甲
SteelAxe,钢斧
SteelBangle,钢手镯
SteelBelt,钢带
SteelBracelet,钢制手镯
SteelBuckle,钢扣
SteelGauntlet,炼金术士
SteelGlove,钢手套
SteelHelmet,钢铁头盔
SteelSword,钢剑
StiffWoodenBow,坚硬的木头弓
Stiletto,小刀
StolenGold,被盗的黄金
StoneBambooFan,石竹扇
StoneHeart,石头之心
StoneTrap,石头陷阱
StormDrug,风暴药
StormEscape,风暴逃逸
StormGem,风暴宝石
StormOrb,风暴Orb
StraightShot,直击
StrainBracelet,应变手镯
StrengthWater,力量之水
StrengthWater7,力量水7
String,字符串
StrongBambooFlute,坚固的竹笛
StrongHoaSword,坚强的可可之剑
StrongLeatherBelt,坚固的皮革腰带
StrongLeatherShoes,强力皮鞋
StrongRope,强力绳索
StrongWoodenBow,强力木弓
StuddedArmour,铆钉盔甲
SummonHolyDeva,召唤圣德瓦
SummonShinsu,召唤神术
SummonSkeleton,召唤骷髅
SummonSnakes,召唤蛇类
SummonToad,召唤蟾蜍
SummonVampire,召唤吸血鬼
SunPotion,太阳药水
SuperiorBronzeHelmet,高级青铜头盔
SuperiorMagicHelmet,优秀的魔法头盔
SurvivalBracelet,生存手镯
SurvivalNecklace,生存项链
SurvivalRing,生存之环
SwiftFeet,迅捷脚步
SwordFish,剑鱼
SwordOfWarGod,战神之剑
TaeGukRing,泰戈尔指环
TajiRing,工艺戒指
TaoArmour,陶器
TaoCoronet,道冠
TaoistDrug,道教药物
TaoPowerBracelet,道力手镯
TaoProtectBracelet,道护手镯
TaoProtectRing,道护环
TarragonArmour,龙舌兰护甲
TarragonBelt,沙龙腰带
TarragonBoots,塔拉贡靴
TarragonBracelet,塔拉贡手镯
TarragonHelmet,蒿草头盔
TarragonNecklace,塔拉贡项链
TarragonRing,塔拉贡戒指
Teleport,传送
TeleportHome,传送首页
TeleportRing,传送戒指
TemperedArmour,钢化盔甲
TheRipper,撕裂者
ThickArmour,厚甲
ThinBracelet,瘦手镯
Thrusting,刺杀
ThunderBolt,霹雳火
ThunderRing,雷霆之心
ThunderStorm,雷霆风暴
TigerNecklace,虎纹项链
Timber,木材
TimeStonePiece,时间石块
Tinker,修补者
TitanArmour,泰坦巨人盔甲
TitaniumMask,钛合金面具
TitanRing,泰坦之环
Torch,火炬
ToughBow,坚韧之弓
ToughGlove,坚韧的手套
ToughHoaSword,坚韧之剑
ToughLongBow,坚韧的长弓
TownTeleport,城镇传送阵
TraineeRing,受训者戒指
TraineeSuit,实习生服装
Translucent,半透明的
Trap,陷阱
TrapHexagon,陷阱六边形
Trident,三叉戟
Trout,鳟鱼
TurnUndead,亡灵转化
TwinDrakeBlade,双闸刀
TwinGoldRing,双金戒指
UltimateEnhancer,终极强化器
UndeadLeather,亡灵皮革
UnknownOrb,未知球体
VampireShot,吸血鬼射击
Vampirism,吸血术
Venison,鹿肉
VioletOrb,紫金石
VioletRing,紫罗兰指环
Walleye,瓦利耶鱼
WarGodOil,战神油
WarMageStaff,战争法师杖
WarriorNecklace,战士项链
WarSpiritBlade,战魂之刃
Web,网络
WhiteGoldBelt,白金腰带
WhiteGoldBracelet,白金手镯
WhiteGoldNecklace,白金项链
WhiteGoldRing,白金戒指
WhiteGoldShoes,白金鞋
WhiteJadeRing,白玉戒指
WhiteMask,白色面具
WhiteThread,白线
WhiteTiger,白虎
WhiteWine,白葡萄酒
WhiteWolf,白狼
WildTitanAmulet,野生泰坦护身符
WillMarble,意志大理石
WimaenEgg,威马恩蛋
WindMarble,风卵石
Wine,葡萄酒
WisdomCoronet,智慧头盔
WitchRobe,巫师袍
WizardRing,巫师戒指
WizardRobe,巫师之袍
Wolf,狼
WonderBox,神奇宝盒
WonderDrug,神奇药物
WonderPill,神奇药丸
WoodenBow,木弓
WoodenSword,木剑
WoomaHeart,巫马之心
WoomaHorn,禾马角
WoomasHorn,巫马之角
WornAxe,磨损的斧头
WornBeadofPhoenix,凤凰之珠
WornIronBracelet,磨损的铁手镯
YellowCrystalPendant,黄水晶吊坠
YellowNecklace,黄色项链
YingYangRobe,阴阳袍
Yizhili,易志丽
ZerkSoup,鸡汤
ZincBlades,锌刀
ZombieEye,僵尸眼
ZombiesHeart,僵尸之心
ZumaBlades,祖玛刀
ZumaFiendBow,祖玛火神弓
ZumaHeart,祖玛之心
ZumaJudgementMace,裁决
ZumaRelic,祖玛乐
ZumaSoulSpringWand,祖玛灵魂之杖
